"","LATID","GATENUM","FLOWERROR","VOLTRUTH"
"403"," 16-4d",30,2.50996503080281,27.8825624119577
"404"," 16-4d",31,2.65375898441504,27.8939116619048
"405"," 16-4f",22,2.20691444832346,28.3399042520819
"406"," 16-4f",23,2.28999959577332,28.1224516512257
"407"," 16-4f",24,2.21128003285482,27.193144982687
"408"," 16-4f",25,2.28289081085021,29.3815575264655
"409"," 16-4f",26,2.48027300528497,28.3737345028581
"410"," 16-4f",27,2.46226391264324,27.6720989335742
"411"," 16-4f",28,2.62022936321242,28.1806746577322
"412"," 16-4f",29,2.57661058971497,29.3877407963532
"413"," 16-4f",30,2.7150698648752,26.4872138821253
"414"," 16-4f",31,2.66724884050137,27.3026477664472
"415"," 16-4f",32,2.73877708906853,29.7077379749362
"416"," 16-4f-2",25,2.23940807401909,28.5236705266835
"417"," 16-4f-2",26,2.57459782558291,27.9548582151503
"418"," 16-4f-2",27,2.53055811520578,30.4043076197464
"419"," 16-4f-2",28,2.5667106212643,28.1452485837627
"420"," 16-4f-2",29,2.61693633395864,28.7629687178022
"421"," 16-4f-2",30,2.68431140546955,28.5277220647576
"422"," 16-4f-3",28,2.53577598857409,29.3411013314832
"423"," 16-4f-3",29,2.58225039031559,28.3968486404439
"424"," 16-4f-3",30,2.6234140817465,29.1917903084409
"425"," 16-4h",26,2.45166880081462,28.7683459503009
"426"," 16-4h",27,2.44887726034809,27.9629269359351
"427"," 16-4h",28,2.4246320313041,26.8226724156492
"428"," 16-4h",29,2.71223190999044,27.9506501718278
"429"," 16-4h",30,2.74339789156076,29.5827320210255
"430"," 16-4h",31,2.79592905141795,28.3663903636931
"431"," 16-4h",32,2.83387809308808,27.3840623277805
"432"," 16-4h",33,2.7242188938776,27.1654331179442
"433"," 16-4h",34,2.73193785784523,28.249397039451
"434"," 16-4h",35,2.89227295425533,28.7712177716134
"435"," 16-4h",36,2.94099092066287,27.8298446131777
"436"," 16-4h",37,2.76106847726266,28.6873586326031
"437"," 16-4h",38,2.96129152091672,28.5847166857376
"438"," 16-4h-1",30,2.58451285202947,26.707312469754
"439"," 16-4h-1",31,2.66533823411352,26.9264727545514
"440"," 16-4h-1",32,2.82544249293158,29.3125634502075
"441"," 16-4h-1",33,2.78553839214112,28.7506458536778
"442"," 17-1",1,1.25436419280665,28.2334678142673
"443"," 17-1",2,1.29110645059956,28.0161985249557
"444"," 17-1",3,1.33831356224842,28.1580838061703
"445"," 17-1",4,1.31367899314575,28.3230996354614
"446"," 17-1",5,1.36552590901914,28.6404926764617
"447"," 17-1",6,1.45206408267808,28.0796136102833
"448"," 17-1",7,1.41275690129183,27.8114849956827
"449"," 17-1",8,1.53043311177702,28.7481539277908
"450"," 17-1",9,1.50037984393467,28.3754682172431
"451"," 17-1",10,1.53680713608364,27.6190749424169
"452"," 17-1",11,1.58268395598506,28.4818595609803
"453"," 17-1",12,1.69502636263682,27.895624476304
"454"," 17-1",13,1.75780970994811,27.8526766985765
"455"," 17-1",14,1.7021255010172,28.106936844244
"456"," 17-1",15,1.82474112202639,27.6295619531852
"457"," 17-1",16,1.93357337558759,29.6099116151979
"458"," 17-1",17,1.92068773983251,27.9391670219207
"459"," 17-1",18,1.9926617058322,28.6573981132976
"460"," 17-1a",1,1.28329742785907,26.9342242539697
"461"," 17-1a",2,1.31226312185258,28.2402112236961
"462"," 17-1a",3,1.34661173684626,28.0135639150101
"463"," 17-1c",16,1.88740007576395,28.6604187328122
"464"," 17-1c",17,1.93659782962071,29.2230845083091
"465"," 17-1c",18,2.059401552944,28.5511420364648
"466"," 17-1c",19,2.03284695272968,29.2741439423613
"467"," 17-1d",18,1.95145353360298,28.7374809110917
"468"," 17-1d",19,2.00190724388362,27.6284647367057
"469"," 17-1d",20,2.11608745958748,28.8609097462622
"470"," 17-1d",21,2.24030574462126,27.399156583998
"471"," 17-1d",22,2.03557089268171,28.933661226879
"472"," 17-1d",23,2.34742667367474,28.4253934372503
"473"," 17-1d",24,2.25647897083466,28.034363628078
"474"," 17-1d-1",19,2.01557496226079,29.1634480182224
"475"," 17-1d-1",20,2.08132114929971,27.3343197961256
"476"," 17-1d-2",24,2.38036801273202,28.3428807925084
"477"," 17-1d-2",25,2.33475444948263,28.9731780458661
"478"," 17-1d-2",26,2.27194685213431,27.8927240336559
"479"," 19-1",1,1.26302937259515,28.1249484528766
"480"," 19-1",2,1.29484619602879,28.6725438035931
"481"," 19-1",3,1.36517365501325,28.0825689241123
"482"," 19-1",4,1.32774255919144,28.2010407885795
"483"," 19-1",5,1.43413248424015,28.2718414717801
"484"," 19-1",6,1.42798274653961,28.2208821768036
"485"," 19-1",7,1.44972477031382,27.8540808266075
"486"," 19-1",8,1.50524495617887,28.5376534704569
"487"," 19-1",9,1.56929857921249,28.306635375007
"488"," 19-1",10,1.56529406429958,29.3701056143114
"489"," 19-1",11,1.68366343092754,28.0680867325744
"490"," 19-1",12,1.68139104882023,28.4091722645809
"491"," 19-1",13,1.82327004777694,27.8497925059779
"492"," 19-1",14,1.81384286928659,28.0608722001685
"493"," 19-1",15,1.81612106474756,28.4641303597155
"494"," 19-1",16,1.90977507347946,28.1645927610486
"495"," 19-1",17,1.98180043104751,29.1130812232985
"496"," 19-1",18,2.11321090858713,28.2170658262388
"497"," 19-1",19,2.10350718106391,27.8266205832456
"498"," 19-1",20,2.15072584148472,28.2595190780941
"499"," 19-1",21,2.21233162008769,27.9099579730816
"500"," 19-1",22,2.1647798341315,27.5562373443154
"501"," 19-1",23,2.24448150501806,28.0443846371274
"502"," 19-1",24,2.34629881984509,28.617539020859
"503"," 19-1",25,2.27789584575318,27.7549284959188
"504"," 19-1",26,2.50586189826356,27.2276610894722
"505"," 19-1",27,2.38672655437728,27.4273397536725
"506"," 19-1",28,2.60563039405183,29.0530148848289
"507"," 19-1",29,2.4744354711242,28.1551828649356
"508"," 19-1",30,2.49630110959534,27.9581077302827
"509"," 19-1b",3,1.36898019497389,28.1570710487642
"510"," 19-1b",4,1.35579177818132,28.9764698095371
"511"," 19-1b",5,1.35786456043377,29.7607327522264
"512"," 19-1b",6,1.38109452639214,27.3867155609791
"513"," 19-1b",7,1.55637209205067,28.0034101302364
"514"," 19-1b",8,1.46209315739349,27.3935169065484
"515"," 19-1b",9,1.51544533115441,28.7981780681019
"516"," 19-1b",10,1.65117132758487,28.4936051592458
"517"," 19-1b-1",5,1.39237569836932,27.5371887881536
"518"," 19-1b-1",6,1.42948824210337,29.5340191566844
"519"," 19-1b-1",7,1.45250666961587,27.2046081227552
"520"," 19-1b-1",8,1.52879473992444,28.6601922382694
"521"," 19-1b-1",9,1.48842669025618,29.2582776671602
"522"," 19-1b-1",10,1.58123660072187,27.4619844395562
"523"," 19-1b-1",11,1.71173420886059,29.0536502817273
"524"," 19-1b-1",12,1.65053695043207,30.6678565969749
"525"," 19-1b-1",13,1.73655162160951,28.8249265935006
"526"," 19-1b-1",14,1.7272805662133,28.9822312460543
"527"," 19-1b-1",15,1.82049643393063,27.6763027273436
"528"," 19-1b-1",16,1.93842016474571,29.5002652381628
"529"," 19-1b-1",17,1.96342441747071,29.3723200035891
"530"," 19-1c",4,1.35384119363236,28.136799629972
"531"," 19-1c",5,1.4099116833115,28.3179896793617
"532"," 19-1c",6,1.47110627723343,29.2105603752494
"533"," 19-1c",7,1.49451213930182,28.0289372047004
"534"," 19-1c",8,1.49094632739513,28.2284772705004
"535"," 19-1c",9,1.56619011955865,28.7638478922435
"536"," 19-1c",10,1.54233157163447,28.5499342177624
"537"," 19-1c",11,1.6908821872525,27.5034318158615
"538"," 19-1c",12,1.67473339584855,27.3573572295107
"539"," 19-1c-1",7,1.45542907740364,28.3012930004715
"540"," 19-1c-1",8,1.59747911099743,28.0409289135397
"541"," 19-1c-1",9,1.53503841324165,29.4613662218585
"542"," 19-1g",18,2.07501611990804,28.7052604321766
"543"," 19-1g",19,2.08054477471009,29.5572636354312
"544"," 19-1g",20,2.05752885855903,28.0245479933292
"545"," 19-1g",21,2.13407559789732,28.519582423587
"546"," 19-1g",22,2.34569336504446,29.3635926247259
"547"," 19-1g",23,2.30808710387789,30.3019422586467
"548"," 19-1g",24,2.36183740658665,28.2760602205368
"549"," 19-1g",25,2.3948482886955,28.6482767751068
"550"," 19-1g",26,2.39124763438955,28.8941658502404
"551"," 19-1g",27,2.38656637793623,27.8152418596274
"552"," 19-1g",28,2.52339139949145,27.1592878340182
"553"," 19-1g",29,2.61016471501112,29.4142425570629
"554"," 19-1g",30,2.70645836430506,27.9465988070045
"555"," 19-1g",31,2.67356714049194,27.9579140761222
"556"," 19-1g",32,2.77967810139663,28.6573660983994
"557"," 19-1g-2",23,2.24554159928499,28.8671131006525
"558"," 19-1g-2",24,2.23372602988179,27.2878316097206
"559"," 19-1i",24,2.38690257054621,28.4664873499179
