"","LATID","GATENUM","FLOWERROR","hsd","tsd","gsd"
"946"," 37-2",2,0.617177759422335,7.34878483084358,77.8036859978356,6.7716702878678
"947"," 37-2",3,0.546213764243681,7.99265396011604,79.1478730030916,6.66061064300039
"948"," 37-2",4,0.558496665770318,7.92565550967493,76.0065740099527,6.64568469612459
"949"," 38-1",1,0.587141322645474,11.621011154398,116.458992943659,10.4233411451975
"950"," 38-1",2,0.544068444273334,11.6048211097148,117.507828856381,10.4181554466421
"951"," 38-1",3,0.572668330688889,12.1734366862396,115.329773181628,10.1725544764752
"952"," 38-1",4,0.615961680294878,10.8387082354958,117.617612285054,10.6996877413336
"953"," 38-2",1,0.617280465340456,10.9521187014361,113.418374360729,10.3244307335807
"954"," 38-2",2,0.551343637857576,11.5075192562532,108.563263924335,10.4863343519912
"955"," 38-2",3,0.602608273129441,10.9261674754254,120.09385740419,10.2729853416348
"956"," 38-2",4,0.583749528947915,10.7908551686241,113.837488362695,10.4592350163959
"957"," 41-1",1,0.521972083505565,2.70412521142123,28.0943317653324,2.23516580089156
"958"," 41-1",2,0.614176022024046,3.31819407692675,28.8929924425011,2.61578369160821
"959"," 41-1",3,0.445075686949903,2.25261555275565,28.3605109007612,2.56216005899067
"960"," 41-1",4,0.645822782028351,2.50064564788455,25.5960310974348,2.81871394664246
"961"," 41-1",5,0.485087698130084,2.3106436031867,29.6303625477981,2.19218335873817
"962"," 41-1",6,0.811048918896613,2.73045794162812,26.9820411701034,2.07626939521838
"963"," 41-1",7,0.589824148618994,3.24901499464258,30.3894855344404,2.85031010949397
"964"," 41-1",8,0.565910230430912,2.77310824583091,28.3575043449855,2.23701753513089
"965"," 41-1",9,0.591544205191489,3.19188732517244,30.7744383559396,2.19635275037277
"966"," 41-1",10,0.81786080633748,3.21939684686605,31.4972109033748,2.40362599162926
"967"," 41-1",11,0.744573001485927,3.1347738212469,27.1094013728204,2.70187602537143
"968"," 41-1",12,0.580314072588168,2.44607806994719,30.994731818596,2.64122678358017
"969"," 41-1",13,0.490076555702128,3.52453577629482,28.1602527020172,2.01405272705278
"970"," 41-1",14,0.634329140970952,2.52004431947304,28.990099673278,2.11527316664594
"971"," 41-1",15,0.622616735754666,2.86198702019911,29.8768331826863,2.68836913715032
"972"," 41-1",16,0.738059546048828,2.88428548570673,29.1127576461031,2.64398950245744
"973"," 41-1",17,0.675609468822458,3.85425643970891,27.4058278115549,2.60613663802818
"974"," 41-1",18,0.599196372212249,2.99806726046896,31.3791788705934,1.91064026562275
"975"," 41-1",19,0.902221409085711,3.14070867439339,29.1715250509347,2.48623932307926
"976"," 41-1",20,1.05967487393383,3.19090749736416,26.6088031400414,2.34296401200264
"977"," 41-1",21,0.973813094317748,1.85267084667831,29.2959580573523,2.4914843140792
"978"," 41-1",22,0.890582678582388,2.58991250590048,28.9049219389955,2.42255818853491
"979"," 41-1",23,1.09293547912177,2.85676863794706,25.9926797158637,2.48608741310066
"980"," 41-1",24,0.658507546315093,2.21549528315534,29.9269040273703,2.71776124591215
"981"," 41-1",25,0.962366810995672,3.34739101278932,28.8935551740377,2.5626412124905
"982"," 41-1",26,0.88345930493211,3.5601994273901,29.6557542615292,2.68760616110532
"983"," 41-1",27,1.05985531297236,3.23471085637493,27.2817918133889,2.99382141709068
"984"," 41-1",28,0.512662441394384,3.320904382676,27.6488087707253,2.69025067682299
"985"," 41-1",29,1.03861660426186,2.82743836561856,30.6766998901863,2.81519591870495
"986"," 41-1",30,0.525799542087436,3.49399758078038,29.0188561926946,2.27563054055444
"987"," 41-1",31,1.15874775683341,2.66388012657018,27.7013221537947,2.66866937610741
"988"," 41-1",32,1.16858210903447,3.43544933649162,25.6533553399203,3.00524599150215
"989"," 41-1",33,0.899634773762464,3.46852355361199,31.7822794711767,2.46309322841996
"990"," 41-1",34,0.715948485597737,2.95962897543798,26.7223961057309,2.25629836030763
"991"," 41-1",35,0.858778957666291,2.37054499147606,30.4971282862469,2.07308880243214
"992"," 41-1",36,1.07885562458345,2.4970156218786,30.1394479162298,2.31594354848255
"993"," 41-1",37,0.796043917566189,2.93350331361817,32.0171293601784,2.14446560930356
"994"," 41-1",38,0.962847125729603,3.17728138575756,29.8820071658442,2.15439324168985
"995"," 41-1",39,1.41289885590308,2.81726282695676,29.27490776402,2.98213158406643
"996"," 41-1",40,0.987318068930592,3.15934751905493,27.4870728568351,2.64807144056679
"997"," 41-1",41,0.801397816935681,4.5425509778337,32.4033791918799,2.57505760278522
"998"," 41-1",42,1.11114008972165,2.7556478320028,28.5656598802939,2.18403667145064
"999"," 41-1",43,1.24145662834144,2.59049272393707,29.0435374679283,2.35715334005491
"1000"," 41-1",44,1.10678900294372,3.4290156098287,29.0357626193581,2.86052388143744
"1001"," 41-1",45,1.20781938538811,3.55409717379584,29.5785937787285,2.44340861229497
"1002"," 41-1",46,1.06698154923047,3.33288410194661,27.5017076493922,2.69879126963077
"1003"," 41-1",47,1.66576219825442,2.47026159687259,30.0010821107449,2.62881001196582
"1004"," 41-1",48,0.95099189550904,2.76009712102756,29.9436546719093,2.15779175474354
"1005"," 41-1",49,0.867364544753897,2.82816430063669,29.5362440958955,3.23008479178398
"1006"," 41-1",50,1.55995080576942,2.76264298525235,30.7647457873323,3.19752161228926
"1007"," 41-1",51,1.01701527313683,3.16081755147664,25.4406059936016,1.96672973964456
"1008"," 41-1",52,1.50919081626343,3.33187092741922,29.82477532064,2.47022085693285
"1009"," 41-1",53,2.1444151480702,3.01750770402996,29.2768565751982,2.88720335064899
"1010"," 41-1c",7,0.458227742399636,2.75189621744117,28.6110396950262,2.94850074233796
"1011"," 41-1c",8,0.590616094097135,3.59225749366002,25.5229780220377,2.72494960912159
"1012"," 41-1c",9,0.435200517987026,2.80812527853535,28.5469390077222,2.71681738103004
"1013"," 41-1c",10,0.709206787328488,3.09385040038082,30.2517813366472,2.08035745465629
"1014"," 41-1c",11,1.07064318063203,2.97632651961348,30.3026234402587,2.49081596946299
"1015"," 41-1c",12,0.49217677298484,3.21452975916198,29.8621874907293,3.5184309007048
