LATID,CLASS,PARENT,APPROXIMATE_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUB_SUBLATERAL_HEAD_STATION,NUM_GATES,NUM_GATES_COL_COUNT,LENGTH,NOTES,UPSTREAM_LENGTH,UPSTREAM_GATE_COUNT,TURNOUT_1,TURNOUT_2,TURNOUT_3,TURNOUT_4,TURNOUT_5,TURNOUT_6,TURNOUT_7,TURNOUT_8,TURNOUT_9,TURNOUT_10,TURNOUT_11,TURNOUT_12,TURNOUT_13,TURNOUT_14,TURNOUT_15,TURNOUT_16,TURNOUT_17,TURNOUT_18,TURNOUT_19,TURNOUT_20,TURNOUT_21,TURNOUT_22,TURNOUT_23,TURNOUT_24,TURNOUT_25,TURNOUT_26,TURNOUT_27,TURNOUT_28,TURNOUT_29,TURNOUT_30,TURNOUT_31,TURNOUT_32,TURNOUT_33,TURNOUT_34,TURNOUT_35,TURNOUT_36,TURNOUT_37,TURNOUT_38,TURNOUT_39,TURNOUT_40,TURNOUT_41,TURNOUT_42,TURNOUT_43,TURNOUT_44,TURNOUT_45,TURNOUT_46,TURNOUT_47,TURNOUT_48,TURNOUT_49,TURNOUT_50,TURNOUT_51,TURNOUT_52,TURNOUT_53,TURNOUT_54,TURNOUT_55,TURNOUT_56,TURNOUT_57,TURNOUT_58,TURNOUT_59,TURNOUT_60,TURNOUT_61,TURNOUT_62,TURNOUT_63,TURNOUT_64,TURNOUT_65
 41-1p,3,41-1,22598,,,2,2,"2,190",,22598,33,950,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1q,3,41-1,26020,,,3,3,"3,147",,26020,38,30,1420,2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2,2,41-2,,,,39,36,"20,983",,,0,3440,4090,5220,5232,5238,5250,6052,7700,7730,7740,8485,8610,9210,9490,10070,10240,10360,10555,10560,12010,12150,13000,13175,13353,13364,14790,15865,16530,17000,17025,17045,18510,19530,20747,20884,20890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2b,3,41-2,5232,,,8,8,"6,041",,5232,3,972,985,1030,3250,3270,3280,3290,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2b-1,4,41-2,,3280,,3,2,"3,165",,8512,8,1440,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2c,3,41-2,8610,,,3,3,"4,324",I think there is a pipeline or some other connection.,8610,11,13725,13730,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2c-1,4,41-2,,13730,,11,11,"15,932",,22340,12,2565,2575,5035,5060,6255,7525,7600,10080,10240,13090,15410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-2c-1a,5,41-2,,,,1,1,"2,552","From the map gate is on Zumwalt Ditch, length added",,0,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 42-1,2,42-1,,,,18,18,"11,305",,,0,90,100,577,887,891,892,1894,2959,3635,4783,6083,7010,7430,7435,8718,9322,10049,11289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 42-1a,3,42-1,892,,,5,5,"2,453",,892,5,1724,1733,1736,2420,2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 42-1b,3,42-1,7435,,,2,2,"2,547",,7435,13,1328,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1,2,43-1,,,,45,43,"32,521",,,0,3125,3420,3812,4230,4322,6304,6341,6641,7579,7600,7638,8671,8978,8980,10972,11707,11727,13036,13038,13056,15020,16274,16464,17062,18970,18990,20034,20146,20994,21010,22904,24865,24867,24869,25594,26513,26869,27504,28778,28782,28786,28795,32112,,,,,,,,,,,,,,,,,,,,,,
 43-1a,3,43-1,4322,,,10,9,"5,392",,4322,4,1275,1544,1839,2019,2789,2793,2803,4063,5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1a-1,4,43-1,,2793,,1,1,"1,261",,7115,9,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1b,3,43-1,8978,,,13,13,"11,323",,8978,12,0,1111,3718,4006,5690,5740,7077,7087,7427,8827,8831,9031,10491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1b-1,4,43-1,,8827,,1,1,"1,992",,17805,21,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1c,3,43-1,11727,,,3,3,"4,438",,11727,16,1471,2557,4474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1f,3,43-1,18990,,,9,8,"5,699",,18990,25,443,2081,2555,2694,2707,4156,4162,4509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1I,3,43-1,28778,,,12,12,"6,984",,28778,38,550,1970,2100,2142,3439,3444,3555,3848,4686,4855,4861,6814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 43-1m,3,43-1,30445,,,2,1,"1,789",,30445,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1,2,45-1,,,,41,35,"28,452",,,0,1125,2296,2456,2468,2480,3760,3815,6141,6215,7539,9685,9880,10166,10233,11542,11607,11611,13280,13530,14485,14524,16404,16433,16447,17712,17794,20335,20340,21737,21759,25519,25623,26292,27809,28154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1b,3,45-1,2480,,,7,7,"3,882",,2480,4,1724,1779,2054,2666,2691,3517,4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1b-1,4,45-1,,1779,,13,12,"8,363",,4259,5,580,1380,2913,3952,4013,4042,4512,5289,5397,6612,6614,7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1b-1a,5,45-1,,,5289,1,1,848,,9548,12,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1b-1b,5,45-1,,,5397,2,2,"1,468",,9656,13,1075,1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1c,3,45-1,3760,,,2,2,"3,594",,3760,5,0,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1d,3,45-1,,,,1,1,46,"Not really a lateral, just a pipe off 45-1 next to station 9,685",,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-1i,3,45-1,20335,,,2,2,"2,590",,20335,0,372,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-2,2,45-2,,,,21,19,"18,469",,,0,60,1119,2377,2403,3739,6262,6302,6327,6664,8177,9134,9137,10400,11750,12092,12782,16190,17467,17487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-2a,3,45-2,2403,,,3,3,"4,392",,2403,3,2551,4193,4283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 45-2d,3,45-2,6262,,,2,1,"3,907",,6262,5,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 47-1,2,47-1,,,,20,19,"15,590",,,0,480,2660,3935,3940,5145,6560,6617,7200,8525,8530,9835,10460,10470,11680,12915,13005,14261,15545,15555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 47-1a,3,47-1,2660,,,2,2,"1,186",,2660,1,20,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 47-1d,3,47-1,8530,,,5,4,"3,279",,8530,9,745,760,1922,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
